,lat,lon,MWS,CPSL,shum,ciz,vvr,vor,Rp
92,31.3,-82.8,64.75,1001,2472.38,21.59,-0.11,259.17,812.97
93,32.8,-81.9,55.5,1003,2250.96,22.0,-0.13,219.32,818.18
94,34.3,-80.7,64.75,1003,2113.7,25.21,-0.25,268.6,850.99
95,34.3,-71.7,92.5,1005,1038.73,25.74,-0.27,385.38,850.02
96,33.3,-72.3,120.2,998,842.8,25.91,-0.26,521.32,635.73
97,32.3,-73.1,120.2,998,671.75,19.38,-0.08,495.02,749.62
98,31.5,-74.0,120.2,998,717.79,16.13,-0.09,502.68,785.92
99,30.7,-76.0,92.5,1001,1088.98,10.210000038146973,-0.2399999946355819,1289.45,322.64
100,30.4,-77.2,92.5,1001,1054.47,8.619999885559082,-0.0900000035762786,985.51,366.56
101,30.4,-77.9,92.5,1001,819.57,11.95,-0.11,404.38,554.41
102,30.6,-78.3,92.5,1001,926.74,13.35,0.03,391.19,623.75
103,30.8,-78.7,92.5,1001,821.45,15.03,-0.03,314.86,807.61
104,30.9,-79.2,83.25,1003,895.63,17.07,0.01,285.96,798.47
105,30.9,-79.6,74.0,1003,1359.46,15.789999961853027,-0.0900000035762786,536.14,401.92
106,30.7,-79.8,74.0,1003,1736.52,18.059999465942383,0.0,636.89,344.96
107,30.5,-79.9,64.75,1003,1576.45,21.209999084472656,-0.209999993443489,886.7,278.04
108,30.1,-79.9,55.5,1003,807.44,13.33,0.07,236.73,622.8
109,29.7,-79.8,55.5,1003,788.13,13.61,-0.04,230.0,727.0
110,29.4,-79.8,55.5,1004,658.03,14.8,0.08,164.41,820.04
111,29.1,-79.8,55.5,1004,640.4,13.48,-0.01,162.54,872.41
112,28.8,-79.7,46.25,1005,695.96,6.53000020980835,-0.0299999993294477,1850.41,91.52
113,28.5,-79.5,46.25,1005,839.41,8.630000114440918,-0.0299999993294477,552.74,276.93
114,28.5,-79.1,46.25,1006,1433.49,9.260000228881836,-0.0299999993294477,1038.59,162.14
115,28.8,-78.8,46.25,1006,920.87,9.18000030517578,-0.1299999952316284,554.82,260.32
116,29.1,-78.5,46.25,1006,853.68,9.739999771118164,-0.1000000014901161,355.96,390.65
117,29.4,-78.0,46.25,1006,970.36,10.449999809265137,0.0199999995529651,281.99,379.34
118,29.7,-77.2,46.25,1006,1189.86,14.71,-0.0,121.96,770.57
119,30.1,-76.0,46.25,1006,1255.7,15.37,-0.07,144.2,731.96
120,30.8,-74.2,46.25,1007,1341.22,15.08,-0.04,176.25,534.4
121,31.4,-71.9,46.25,1007,1404.72,19.39,-0.09,202.76,702.25
122,31.8,-69.4,46.25,1007,1452.02,24.69,-0.12,221.32,712.73
123,17.5,-87.5,64.75,1005,4063.68,14.08,-0.22,222.67,803.98
124,17.8,-88.0,74.0,1004,3984.82,15.14,-0.19,221.91,806.19
125,17.9,-88.2,74.0,1004,3933.27,15.36,-0.17,204.72,872.42
126,18.0,-88.4,64.75,1005,3861.58,16.33,-0.22,201.91,829.29
127,18.2,-88.8,64.75,1005,3672.47,16.26,-0.26,213.51,899.86
128,18.3,-89.2,64.75,1006,3679.93,16.0,-0.22,219.54,788.22
129,18.2,-89.8,64.75,1006,3539.09,17.58,-0.19,233.3,719.22
130,18.0,-90.4,55.5,1006,3195.1,16.9,-0.17,219.16,800.64
131,17.8,-90.8,55.5,1006,3136.53,15.64,-0.24,239.91,800.31
132,17.6,-91.1,46.25,1006,3377.36,14.72,-0.28,294.33,744.42
133,30.6,-75.4,46.25,1010,2254.68,9.91,-0.11,114.54,841.84
134,31.7,-75.6,46.25,1010,2270.85,11.26,-0.02,96.14,860.91
135,32.7,-75.5,46.25,1010,2296.24,9.47,-0.06,103.54,696.02
136,33.6,-75.2,46.25,1009,2313.61,8.66,-0.08,105.11,774.98
137,34.5,-74.6,46.25,1008,2357.02,7.82,-0.02,121.07,648.25
138,15.9,-82.0,46.25,1007,3437.09,11.42,-0.08,152.11,750.78
139,16.0,-82.1,46.25,1006,3852.39,12.77,-0.13,205.17,1076.93
140,16.1,-82.3,46.25,1006,4029.02,12.46,-0.1,214.31,755.37
141,16.2,-82.5,55.5,1005,3948.11,14.32,-0.15,216.85,763.54
142,16.4,-83.1,55.5,1005,4172.06,12.76,-0.11,205.72,957.67
143,16.6,-83.9,55.5,1004,4507.04,12.65,-0.19,230.09,1001.13
144,16.7,-84.9,74.0,1004,4768.88,13.62,-0.28,267.71,808.32
145,16.9,-86.1,74.0,1004,4793.52,15.48,-0.23,271.61,859.1
146,17.2,-87.2,101.7,996,4836.49,14.02,-0.26,285.3,906.12
147,17.5,-88.2,101.7,995,4928.57,11.97,-0.24,302.04,917.9
148,18.0,-89.1,101.7,991,4953.35,12.13,-0.18,307.9,818.18
149,18.5,-90.0,83.25,992,4957.64,13.38,-0.17,311.32,797.02
150,18.9,-90.7,64.75,993,4889.14,13.13,-0.17,309.47,792.28
151,19.2,-91.1,74.0,991,5234.21,13.59,-0.22,329.25,715.52
152,19.5,-91.4,74.0,991,5082.76,16.63,-0.19,296.97,904.52
153,20.0,-91.6,92.5,989,4774.96,16.09,-0.19,278.97,913.96
154,20.3,-91.7,92.5,990,4901.71,14.37,-0.29,275.14,866.82
155,20.7,-91.7,101.7,987,5012.21,13.0,-0.25,309.27,905.75
156,21.5,-91.9,101.7,985,4882.88,14.01,-0.22,301.73,934.06
157,22.4,-92.7,111.0,983,4574.64,14.54,-0.22,312.4,949.06
158,22.9,-93.6,111.0,981,4803.28,14.68,-0.32,345.0,843.68
159,23.0,-94.4,120.2,973,4986.4,14.03,-0.28,368.85,896.05
160,23.1,-94.8,129.5,966,5084.64,15.92,-0.27,316.56,935.59
161,23.5,-95.2,138.7,958,4902.51,16.39,-0.27,288.74,873.8
162,24.0,-95.5,138.7,958,5008.79,15.62,-0.24,300.1,894.18
163,24.3,-96.2,148.0,962,5077.64,14.81,-0.26,294.44,836.29
164,24.3,-97.3,166.5,948,5412.55,14.74,-0.29,313.73,960.02
165,24.2,-97.7,175.7,946,5454.27,14.92,-0.3,301.67,872.64
166,24.1,-98.4,138.7,963,5359.99,15.73,-0.37,303.28,805.32
167,23.5,-99.5,111.0,977,5246.22,14.78,-0.26,277.04,949.96
168,23.1,-100.7,74.0,987,5075.15,12.14,-0.24,231.96,941.91
169,23.2,-101.9,55.5,997,5380.69,11.81,-0.28,185.59,792.37
170,19.9,-92.8,46.25,1007,4184.45,13.49,-0.24,220.24,704.27
171,20.3,-93.1,55.5,1006,4053.42,13.39,-0.2,191.41,840.81
172,20.7,-93.5,64.75,1006,4131.69,13.8,-0.27,221.3,773.62
173,21.0,-93.9,64.75,1005,4525.67,14.43,-0.32,254.48,807.32
174,21.2,-94.5,64.75,1003,4497.89,15.49,-0.33,252.2,904.46
175,21.3,-95.3,83.25,1000,4485.25,16.98,-0.23,286.49,716.88
176,21.4,-95.6,92.5,998,4634.68,14.7,-0.23,231.52,691.71
177,21.6,-96.1,92.5,996,4823.72,13.75,-0.25,218.51,811.33
178,21.6,-97.0,101.7,994,4671.31,14.91,-0.31,238.12,845.3
179,21.6,-97.3,101.7,993,4681.51,14.6,-0.26,237.39,969.05
180,21.6,-97.4,101.7,993,4665.48,14.73,-0.27,228.88,904.31
181,21.5,-98.1,83.25,998,4742.91,15.16,-0.24,221.18,847.23
182,21.1,-98.7,55.5,1002,4956.07,14.09,-0.31,229.53,725.59
183,33.1,-77.0,46.25,1010,1014.76,22.97,-0.03,128.13,861.26
184,32.8,-77.1,55.5,1008,2164.82,16.270000457763672,-0.2599999904632568,893.16,150.97
185,32.5,-77.3,74.0,1005,1317.6,13.350000381469728,-0.1099999994039535,530.46,280.92
186,32.3,-77.6,83.25,997,812.47,18.47,-0.01,92.81,888.09
187,32.1,-78.1,92.5,995,871.07,19.74,-0.02,96.11,1095.93
188,31.9,-78.7,83.25,998,847.31,17.66,-0.01,127.09,1039.89
189,31.5,-79.5,74.0,1000,743.88,16.14,-0.01,106.6,1107.61
190,31.1,-79.9,74.0,1005,772.33,19.07,-0.01,117.06,759.17
191,30.7,-80.1,64.75,1007,755.07,18.3,0.02,89.19,824.18
192,30.4,-79.8,64.75,1007,796.58,19.649999618530277,0.0399999991059303,268.79,369.67
193,30.4,-79.1,64.75,1007,761.15,20.65999984741211,0.0099999997764825,214.28,429.29
194,30.5,-78.3,64.75,1006,709.0,21.82,0.01,102.12,709.58
195,30.7,-77.1,64.75,1007,870.82,23.88,-0.01,77.54,849.96
196,31.5,-76.1,64.75,1007,944.44,24.35,0.01,103.28,1127.97
197,32.5,-74.7,55.5,1008,1054.21,24.08,-0.0,93.51,1718.9
198,33.4,-73.4,55.5,1008,1150.82,26.0,-0.03,65.45,772.7
199,34.1,-71.9,46.25,1010,1230.27,25.76,0.03,64.76,1015.45
200,34.9,-70.1,46.25,1011,1166.59,28.2,-0.01,43.59,963.69
201,25.1,-86.6,64.75,1006,2659.93,17.58,-0.27,226.15,576.24
202,25.6,-86.5,74.0,1002,2401.8,15.78,-0.15,200.83,1015.99
203,26.7,-86.1,92.5,999,2308.17,18.2,-0.23,172.04,900.15
204,27.8,-84.9,101.7,995,2521.59,19.66,-0.32,195.95,945.88
205,28.9,-83.9,101.7,993,2624.45,21.04,-0.26,271.93,941.99
206,29.5,-83.4,92.5,992,2624.34,20.97,-0.15,297.35,1040.28
207,29.8,-83.0,74.0,993,2630.24,21.05,-0.14,295.44,874.44
208,31.6,-81.4,74.0,996,2636.65,20.11,-0.16,291.88,825.63
209,33.5,-80.2,74.0,996,2474.59,19.25,-0.16,371.89,774.52
210,32.0,-78.2,37.0,1017,2889.2,12.81999969482422,-0.0799999982118606,161.91,486.19
211,31.2,-77.8,37.0,1017,2816.89,13.4,0.03,82.68,696.55
212,30.5,-77.4,37.0,1017,3482.18,10.260000228881836,-0.0299999993294477,538.02,258.02
213,30.0,-77.2,37.0,1016,3318.13,12.029999732971191,-0.0799999982118606,424.6,341.14
214,29.7,-77.2,46.25,1015,2982.16,13.529999732971191,-0.1000000014901161,280.83,449.89
215,29.5,-77.5,46.25,1014,2746.53,13.28,0.02,120.79,642.76
216,29.2,-78.0,46.25,1013,2627.86,12.1,0.01,106.73,718.78
217,28.7,-78.4,46.25,1011,2414.32,11.28,-0.02,118.87,571.98
218,28.1,-78.7,55.5,1010,2403.68,11.23,-0.08,115.32,675.38
219,27.7,-78.9,55.5,1008,2496.9,12.21,-0.07,104.83,847.19
220,27.5,-79.1,55.5,1007,2317.39,13.15,-0.02,112.39,684.05
221,27.5,-79.2,64.75,1005,2245.34,13.52,-0.12,126.44,566.21
222,27.7,-79.3,74.0,1003,2706.49,12.59000015258789,-0.1700000017881393,253.19,458.27
223,27.9,-79.2,83.25,999,2364.38,12.35,-0.05,125.19,737.97
224,28.2,-79.1,92.5,995,2293.82,12.579999923706056,-0.1400000005960464,268.33,474.85
225,28.7,-79.0,101.7,995,2202.61,13.08,-0.12,145.66,925.23
226,29.4,-79.1,111.0,994,2190.0,12.39,-0.08,110.78,911.34
227,30.1,-79.2,120.2,987,2148.24,14.04,-0.03,100.27,1033.68
228,30.9,-79.1,129.5,984,2083.83,15.41,-0.13,133.17,764.2
229,31.8,-78.8,148.0,981,2410.04,14.34,-0.12,170.39,746.56
230,32.9,-78.3,148.0,978,2491.86,15.43,-0.13,142.15,838.5
231,34.0,-77.3,157.2,975,2805.42,17.3,-0.08,243.13,706.84
232,34.7,-76.6,157.2,973,2662.76,18.99,-0.1,238.93,662.76
233,26.8,-79.2,46.25,1016,2065.48,19.33,-0.13,127.67,647.17
234,28.2,-78.5,46.25,1015,2106.74,15.71,-0.29,214.49,561.44
235,29.7,-77.8,46.25,1014,1925.11,16.0,-0.25,259.05,659.46
236,30.8,-77.5,55.5,1012,1719.95,17.1,-0.09,249.46,661.91
237,30.7,-77.8,64.75,1010,1464.63,15.33,-0.09,237.94,875.81
238,30.6,-77.5,74.0,1008,1395.84,12.75,-0.12,332.07,638.42
239,31.2,-77.5,74.0,1005,1412.55,11.88,-0.08,310.06,654.08
240,31.4,-77.6,74.0,1003,1268.14,11.19,-0.03,286.86,612.56
241,31.5,-77.6,74.0,1002,1376.6,13.300000190734863,-0.0199999995529651,775.04,375.94
242,31.5,-77.5,74.0,1000,1428.01,13.329999923706056,-0.2899999916553497,1841.63,208.42
243,31.6,-77.4,83.25,999,1327.69,11.800000190734863,-0.0799999982118606,398.1,477.44
244,31.9,-77.3,92.5,998,1374.36,10.920000076293944,-0.0199999995529651,462.41,433.05
245,32.2,-77.5,92.5,998,1465.05,14.239999771118164,-0.1199999973177909,1868.93,209.87
246,32.5,-77.8,92.5,1001,1633.57,18.71999931335449,-0.1099999994039535,1493.49,246.18
247,32.7,-78.0,83.25,1001,1251.07,13.98,-0.1,205.12,675.96
248,33.1,-78.3,83.25,1001,1278.27,14.04,0.01,191.89,554.83
249,33.5,-78.6,74.0,1002,2584.03,14.140000343322754,-0.2399999946355819,2390.97,152.61
250,33.8,-78.8,74.0,1002,2826.94,15.640000343322754,-0.2899999916553497,1887.66,190.14
251,33.9,-78.8,64.75,1002,2252.45,13.6899995803833,-0.1199999973177909,821.77,307.29
252,34.3,-78.7,55.5,1006,2540.27,13.390000343322754,-0.2399999946355819,878.76,280.49
253,34.7,-78.5,55.5,1009,1984.75,10.670000076293944,-0.050000000745058,296.23,437.88
254,26.6,-75.3,74.0,1010,1543.4,33.32,-0.26,254.72,873.47
255,27.6,-74.7,83.25,1003,1610.05,33.05,-0.32,310.73,995.26
256,28.7,-73.8,92.5,997,1396.83,28.53,-0.26,406.66,688.85
257,30.0,-72.5,101.7,987,1233.35,27.35,-0.17,430.0,996.01
258,31.4,-70.6,101.7,986,1261.32,25.73,-0.06,423.81,865.91
259,32.4,-68.8,101.7,986,1148.45,25.88,-0.08,474.79,927.41
260,33.0,-67.1,83.25,991,1099.33,26.3,-0.02,456.93,1053.39
261,33.5,-65.0,83.25,991,1082.73,28.76,-0.01,485.89,1099.84
262,34.0,-62.9,83.25,991,1193.37,30.6,-0.09,499.16,1154.95
263,34.5,-60.5,92.5,991,1111.55,30.16,-0.15,502.86,849.31
264,34.4,-54.2,120.2,981,958.94,33.48,-0.19,479.07,1063.43
265,33.7,-52.7,120.2,981,899.3,30.05,-0.19,551.42,1210.9
266,32.9,-51.2,120.2,979,832.12,26.78,-0.11,585.94,1084.32
267,32.1,-49.1,111.0,980,843.16,23.67,-0.06,638.41,1307.21
268,31.6,-46.5,101.7,980,856.61,22.74,-0.05,682.87,1274.76
269,31.6,-44.6,101.7,980,953.53,19.06,-0.11,718.38,862.32
270,31.3,-43.4,101.7,980,949.73,18.95,0.01,696.54,740.7
271,30.0,-42.5,92.5,982,953.92,23.04,0.01,645.0,1478.4
272,28.4,-41.7,92.5,985,912.85,30.25,0.06,579.28,1055.1
273,26.3,-40.2,92.5,988,958.64,31.36,0.02,552.53,1095.42
274,25.0,-38.0,92.5,988,1079.93,24.98,-0.04,546.85,943.21
275,25.1,-35.9,92.5,988,1352.09,21.6,-0.12,550.85,937.93
276,25.4,-34.7,92.5,988,1470.07,19.83,-0.1,533.56,905.12
277,25.6,-33.6,83.25,989,1529.8,18.19,-0.17,558.52,788.0
278,26.0,-32.5,83.25,989,1567.94,17.13,-0.05,616.38,507.19
279,26.7,-31.4,83.25,990,1579.91,15.38,-0.13,575.79,530.89
280,27.9,-30.4,101.7,988,1694.22,14.41,-0.04,525.63,679.97
281,29.3,-29.6,120.2,985,1575.8,17.24,-0.05,479.77,698.38
282,30.8,-28.7,138.7,981,1605.85,16.81,-0.09,528.88,651.32
283,32.5,-28.0,138.7,981,1581.27,15.99,-0.13,487.76,914.05
284,33.9,-27.6,129.5,984,1529.48,17.47,-0.09,551.1,746.2
285,18.8,-87.1,55.5,1006,2426.8,14.58,-0.12,195.83,898.69
286,18.7,-86.5,55.5,1006,2640.06,13.38,-0.22,195.48,788.67
287,18.9,-85.9,55.5,1006,2701.66,15.69,-0.14,215.37,763.6
288,19.6,-85.7,55.5,1005,2534.31,18.42,-0.14,221.35,741.95
289,21.3,-85.6,55.5,1004,2842.57,14.34,-0.18,237.06,905.88
290,22.6,-85.3,64.75,1002,2940.89,13.99,-0.23,261.65,1106.25
291,23.6,-84.8,64.75,1000,2802.59,16.21,-0.17,308.16,1071.59
292,24.9,-84.3,64.75,998,2859.35,16.77,-0.2,329.13,710.42
293,26.6,-84.4,74.0,995,3203.79,14.78,-0.26,349.01,617.92
294,27.6,-85.0,83.25,992,3082.77,14.64,-0.19,374.15,720.58
295,28.2,-85.8,101.7,991,2830.33,13.93,-0.08,325.09,871.92
296,28.6,-86.0,101.7,990,2654.42,12.57,-0.05,301.29,828.09
297,29.1,-85.9,92.5,991,2675.31,13.31,-0.05,308.35,821.04
298,29.8,-85.9,83.25,991,2816.02,15.68,-0.08,314.51,1041.18
299,30.3,-86.0,74.0,992,2967.31,15.6,-0.12,308.4,1082.38
300,30.9,-86.1,55.5,993,3159.9,16.92,-0.11,332.75,1028.68
301,31.9,-86.6,55.5,994,3060.41,14.19,-0.05,311.81,707.24
302,33.0,-87.0,55.5,996,3516.25,16.25,-0.1599999964237213,613.02,381.13
303,34.2,-87.3,55.5,997,2918.6,14.24,-0.1,334.68,624.64
304,28.0,-78.7,55.5,1008,1862.21,13.44,-0.1,186.61,685.06
305,28.9,-78.0,64.75,1006,1851.09,13.59,-0.05,187.82,652.47
306,29.6,-77.6,64.75,1004,1935.26,12.91,-0.1,177.23,733.42
307,30.3,-77.5,64.75,1003,2035.77,12.3,-0.04,233.49,554.77
308,31.0,-77.3,74.0,1003,2093.99,12.59,-0.09,207.5,568.28
309,31.9,-77.0,74.0,1003,1952.98,14.98,-0.07,220.98,622.25
310,33.1,-76.7,74.0,1002,2320.85,15.789999961853027,-0.1800000071525573,453.99,460.86
311,34.4,-75.9,83.25,1000,3069.04,19.739999771118164,-0.2800000011920929,993.33,311.59
312,34.6,-65.6,92.5,1002,2147.14,22.21,-0.15,291.2,978.93
313,33.7,-65.3,83.25,1006,1799.43,23.36,-0.11,281.37,1183.53
314,32.8,-65.0,74.0,1008,1357.25,27.35,0.04,221.08,862.14
315,29.0,-88.5,46.25,1012,2597.39,12.770000457763672,-0.0599999986588954,346.88,391.36
316,29.3,-89.2,64.75,1008,1959.57,13.09,0.08,97.72,879.34
317,29.4,-89.2,64.75,1007,1920.9,13.09,0.07,91.77,911.79
318,29.4,-89.3,64.75,1008,1900.32,13.34,0.06,105.35,714.99
319,29.6,-89.7,64.75,1008,2694.49,14.289999961853027,-0.1099999994039535,542.93,317.74
320,30.5,-90.1,46.25,1010,3446.56,12.079999923706056,-0.1199999973177909,889.85,237.36
321,30.9,-90.6,37.0,1011,2546.77,13.449999809265137,-0.0700000002980232,377.36,380.64
322,30.9,-91.0,27.75,1012,2203.99,12.4399995803833,0.0900000035762786,201.98,473.29
323,30.8,-91.4,27.75,1013,2659.49,11.960000038146973,0.0099999997764825,642.03,247.83
324,30.6,-91.5,27.75,1013,2532.54,10.710000038146973,-0.0599999986588954,494.28,296.85
325,30.3,-91.6,27.75,1012,2444.16,9.18000030517578,-0.0399999991059303,507.9,271.82
326,30.0,-91.7,37.0,1010,1831.26,12.210000038146973,0.0900000035762786,102.89,480.06
327,29.7,-92.2,37.0,1011,2099.71,7.940000057220459,-0.0900000035762786,764.36,209.62
328,29.4,-92.7,46.25,1011,2211.38,10.229999542236328,-0.1000000014901161,461.19,277.12
329,29.0,-93.2,46.25,1010,2385.75,8.119999885559082,-0.1500000059604644,648.89,219.17
330,28.6,-93.8,46.25,1010,1767.36,8.25,0.08,25.5,675.72
331,27.7,-95.3,37.0,1011,3372.41,9.279999732971191,-0.3799999952316284,1049.35,165.02
332,26.9,-96.1,37.0,1011,3082.54,9.529999732971191,-0.0299999993294477,772.99,190.44
333,27.0,-96.6,37.0,1011,2068.17,11.05,-0.01,25.41,731.87
334,27.2,-97.1,37.0,1011,2751.96,10.579999923706056,-0.0399999991059303,470.09,235.38
335,27.3,-97.4,37.0,1011,2905.05,10.640000343322754,-0.1500000059604644,357.31,270.99
336,27.5,-97.7,37.0,1012,2596.77,9.43000030517578,-0.050000000745058,80.1,441.89
